symbol,entry_datetime,exit_datetime,entry_type,pnl
GRASIM,1/5/2024 9:35,1/5/2024 15:10,sell,-0.000728916
HAL,1/5/2024 10:30,1/5/2024 15:10,buy,-0.00125574
LUPIN,1/5/2024 9:30,1/5/2024 15:10,sell,0.000792659
NESTLEIND,1/5/2024 9:35,1/5/2024 15:10,sell,-0.000510367
NTPC,1/5/2024 9:40,1/5/2024 15:10,sell,0.001900608
OBEROIRLTY,1/5/2024 10:00,1/5/2024 15:10,sell,0.001011254
RBLBANK,1/5/2024 9:30,1/5/2024 15:10,sell,0.000724263
MOTHERSON,1/8/2024 9:30,1/8/2024 11:15,sell,-0.001391555
BANKBARODA,1/8/2024 10:25,1/8/2024 15:10,sell,0.001238816
GMRINFRA,1/8/2024 9:40,1/8/2024 15:10,buy,0.001402688
GODREJCP,1/8/2024 9:30,1/8/2024 15:10,sell,-0.00202603
HINDCOPPER,1/8/2024 9:30,1/8/2024 15:10,sell,0.003119333
INDHOTEL,1/8/2024 9:40,1/8/2024 15:10,sell,0.001246447
MARICO,1/8/2024 10:00,1/8/2024 15:10,sell,-0.000682233
MOTHERSON,1/8/2024 11:15,1/8/2024 15:10,buy,-9.47E-05
TATASTEEL,1/8/2024 9:45,1/8/2024 15:10,sell,0.001646879
TITAN,1/8/2024 9:30,1/8/2024 15:10,sell,0.00059147
ZEEL,1/8/2024 9:45,1/8/2024 15:10,sell,0.001449019
HINDPETRO,1/9/2024 9:30,1/9/2024 14:55,sell,-0.001337793
BAJAJ-AUTO,1/9/2024 10:10,1/9/2024 15:10,sell,0.000124456
BANDHANBNK,1/9/2024 9:30,1/9/2024 15:10,sell,0.000359104
COFORGE,1/9/2024 9:45,1/9/2024 15:10,sell,0.001491592
HINDPETRO,1/9/2024 14:55,1/9/2024 15:10,buy,-0.000385039
INDUSTOWER,1/9/2024 9:30,1/9/2024 15:10,sell,0.000725655
IOC,1/9/2024 9:30,1/9/2024 15:10,sell,0.00110979
MPHASIS,1/9/2024 9:30,1/9/2024 15:10,sell,0.002119249
NMDC,1/9/2024 9:40,1/9/2024 15:10,sell,2.36E-05
WIPRO,1/9/2024 9:30,1/9/2024 15:10,sell,0.001422475
ZEEL,1/10/2024 9:30,1/10/2024 9:40,sell,-0.002257248
POLYCAB,1/10/2024 9:35,1/10/2024 9:45,buy,-0.00174649
VEDL,1/10/2024 9:30,1/10/2024 10:40,sell,-0.001647112
ADANIPORTS,1/10/2024 9:30,1/10/2024 15:10,sell,-0.001226329
DELTACORP,1/10/2024 9:35,1/10/2024 15:10,buy,0.004365482
IGL,1/10/2024 9:30,1/10/2024 15:10,sell,-0.002027852
INDUSTOWER,1/10/2024 9:30,1/10/2024 15:10,sell,0.00011655
LUPIN,1/10/2024 9:30,1/10/2024 15:10,sell,-0.00048266
NATIONALUM,1/10/2024 10:00,1/10/2024 15:10,sell,-7.65E-05
PAGEIND,1/10/2024 9:30,1/10/2024 15:10,buy,0.000459657
ZEEL,1/10/2024 9:40,1/10/2024 15:10,buy,-0.001065652
IEX,1/11/2024 9:35,1/11/2024 9:45,sell,-0.000965892
ASHOKLEY,1/11/2024 9:35,1/11/2024 12:15,sell,-0.000905903
IEX,1/11/2024 9:45,1/11/2024 14:10,buy,-0.001195815
ASHOKLEY,1/11/2024 12:15,1/11/2024 15:10,buy,-0.000434405
HINDPETRO,1/11/2024 10:05,1/11/2024 15:10,buy,0.001714918
LTTS,1/11/2024 9:35,1/11/2024 15:10,sell,-0.000595943
MANAPPURAM,1/11/2024 10:25,1/11/2024 15:10,buy,5.74E-05
PVRINOX,1/11/2024 9:30,1/11/2024 15:10,sell,0.002256121
SHRIRAMFIN,1/11/2024 9:35,1/11/2024 15:10,buy,0.000579819
BSOFT,1/12/2024 9:30,1/12/2024 15:10,buy,0.00212697
COFORGE,1/12/2024 9:30,1/12/2024 15:10,buy,0.001119623
HEROMOTOCO,1/12/2024 10:35,1/12/2024 15:10,buy,0.000679929
INFY,1/12/2024 9:30,1/12/2024 15:10,buy,0.001838224
MPHASIS,1/12/2024 9:30,1/12/2024 15:10,buy,-0.000757561
OFSS,1/12/2024 9:30,1/12/2024 15:10,buy,0.003683611
PERSISTENT,1/12/2024 9:30,1/12/2024 15:10,buy,0.000522433
TCS,1/12/2024 9:35,1/12/2024 15:10,buy,0.000475352
TECHM,1/12/2024 9:30,1/12/2024 15:10,buy,0.001273986
WIPRO,1/12/2024 9:30,1/12/2024 15:10,buy,0.000420485
MPHASIS,1/15/2024 9:30,1/15/2024 9:50,buy,-0.001984724
TCS,1/15/2024 9:30,1/15/2024 10:20,buy,-0.001151501
POLYCAB,1/15/2024 9:40,1/15/2024 13:45,sell,-0.002344297
BHEL,1/15/2024 9:35,1/15/2024 15:10,sell,-0.000524214
HCLTECH,1/15/2024 9:50,1/15/2024 15:10,sell,-0.000366856
INFY,1/15/2024 9:30,1/15/2024 15:10,buy,-0.000646908
ONGC,1/15/2024 10:30,1/15/2024 15:10,buy,0.002187705
POLYCAB,1/15/2024 13:45,1/15/2024 15:10,buy,0.002606838
TATACONSUM,1/15/2024 9:30,1/15/2024 15:10,sell,0.000791464
TECHM,1/15/2024 9:30,1/15/2024 15:10,buy,-0.003010442
JKCEMENT,1/16/2024 9:35,1/16/2024 11:25,sell,-0.000845947
INDIGO,1/16/2024 9:30,1/16/2024 12:05,buy,-0.00135846
EICHERMOT,1/16/2024 9:30,1/16/2024 15:10,buy,-0.000205328
HINDCOPPER,1/16/2024 13:35,1/16/2024 15:10,sell,-0.002391429
INDIGO,1/16/2024 12:05,1/16/2024 15:10,sell,0.000847113
INDUSTOWER,1/16/2024 9:40,1/16/2024 15:10,sell,-0.000895111
JKCEMENT,1/16/2024 11:25,1/16/2024 15:10,buy,-1.57E-05
NATIONALUM,1/16/2024 13:00,1/16/2024 15:10,sell,-0.001235914
POLYCAB,1/16/2024 9:30,1/16/2024 15:10,buy,0.000140913
VEDL,1/16/2024 10:10,1/16/2024 15:10,sell,0.000513452
BAJAJ-AUTO,1/17/2024 10:00,1/17/2024 12:45,sell,-0.001213451
BAJFINANCE,1/17/2024 9:45,1/17/2024 15:10,buy,-0.001139012
HCLTECH,1/17/2024 9:30,1/17/2024 15:10,buy,0.001459338
HDFCBANK,1/17/2024 11:40,1/17/2024 15:10,sell,0.001160294
ICICIBANK,1/17/2024 11:05,1/17/2024 15:10,sell,0.000517084
ICICIGI,1/17/2024 9:30,1/17/2024 15:10,buy,-0.000993187
IEX,1/17/2024 12:10,1/17/2024 15:10,sell,0.003022339
MOTHERSON,1/17/2024 9:30,1/17/2024 15:10,buy,-0.000598802
RBLBANK,1/17/2024 9:35,1/17/2024 15:10,buy,-0.001818182
BHEL,1/18/2024 9:30,1/18/2024 14:45,sell,-0.002079807
AXISBANK,1/18/2024 9:30,1/18/2024 15:10,buy,0.000320044
BHEL,1/18/2024 14:45,1/18/2024 15:10,buy,0.000521204
HDFCBANK,1/18/2024 14:20,1/18/2024 15:10,sell,-0.000337792
ICICIPRULI,1/18/2024 9:50,1/18/2024 15:10,buy,0.000434109
IEX,1/18/2024 9:30,1/18/2024 15:10,sell,0.00185648
MFSL,1/18/2024 9:30,1/18/2024 15:10,buy,-0.001474134
POWERGRID,1/18/2024 10:00,1/18/2024 15:10,buy,0.000646412
NMDC,1/19/2024 9:30,1/19/2024 11:10,buy,-0.00084514
BSOFT,1/19/2024 11:15,1/19/2024 15:10,buy,-0.000756589
DIXON,1/19/2024 9:35,1/19/2024 15:10,sell,-0.000672622
LTIM,1/19/2024 9:30,1/19/2024 15:10,sell,-9.83E-05
LTTS,1/19/2024 9:40,1/19/2024 15:10,sell,0.001238521
NTPC,1/19/2024 9:30,1/19/2024 15:10,buy,0.001629093
PERSISTENT,1/19/2024 9:30,1/19/2024 15:10,sell,-0.00054529
RECLTD,1/19/2024 11:00,1/19/2024 15:10,buy,0.003751721
TATACOMM,1/19/2024 13:10,1/19/2024 15:10,sell,-0.000715963
IEX,1/20/2024 9:35,1/20/2024 12:00,sell,-0.001028369
PETRONET,1/20/2024 9:30,1/20/2024 13:35,sell,-0.001403866
PNB,1/20/2024 9:30,1/20/2024 14:10,sell,-0.000970403
ASHOKLEY,1/20/2024 9:30,1/20/2024 15:10,buy,-0.000176678
GAIL,1/20/2024 9:30,1/20/2024 15:10,sell,0.001917808
HINDUNILVR,1/20/2024 9:45,1/20/2024 15:10,sell,0.000924589
IEX,1/20/2024 12:00,1/20/2024 15:10,buy,-0.0001755
IRCTC,1/20/2024 9:30,1/20/2024 15:10,buy,2.43E-05
PETRONET,1/20/2024 13:35,1/20/2024 15:10,buy,-0.001063403
PNB,1/20/2024 14:10,1/20/2024 15:10,buy,0.000768861
PVRINOX,1/20/2024 14:35,1/20/2024 15:10,sell,-0.000203967
RECLTD,1/20/2024 9:35,1/20/2024 15:10,buy,-0.000206612
SHRIRAMFIN,1/20/2024 9:30,1/20/2024 15:10,sell,9.12E-05
APOLLOHOSP,1/23/2024 14:00,1/23/2024 15:10,sell,0.000381256
CIPLA,1/23/2024 10:05,1/23/2024 15:10,buy,7.45E-05
ICICIBANK,1/23/2024 10:05,1/23/2024 15:10,sell,0.000717934
IDFC,1/23/2024 10:05,1/23/2024 15:10,sell,0.002937474
OBEROIRLTY,1/23/2024 9:30,1/23/2024 15:10,sell,0.003021939
PERSISTENT,1/23/2024 9:30,1/23/2024 15:10,buy,-0.000803
PETRONET,1/23/2024 9:45,1/23/2024 15:10,buy,-0.00034496
RECLTD,1/23/2024 9:30,1/23/2024 15:10,sell,0.006530612
TATAPOWER,1/23/2024 10:20,1/23/2024 15:10,sell,0.001827713
AXISBANK,1/24/2024 9:50,1/24/2024 15:10,buy,0.00038316
HDFCBANK,1/24/2024 9:35,1/24/2024 15:10,buy,0.001527143
HINDALCO,1/24/2024 9:30,1/24/2024 15:10,buy,0.0003734
INDUSTOWER,1/24/2024 9:35,1/24/2024 15:10,buy,0.002018634
IPCALAB,1/24/2024 9:35,1/24/2024 15:10,buy,0.001703499
JKCEMENT,1/24/2024 14:05,1/24/2024 15:10,buy,0.000252944
MGL,1/24/2024 9:30,1/24/2024 15:10,buy,0
PERSISTENT,1/24/2024 10:40,1/24/2024 15:10,sell,-0.002344023
SHRIRAMFIN,1/24/2024 9:30,1/24/2024 15:10,buy,0.001116459
BAJAJ-AUTO,1/25/2024 10:05,1/25/2024 15:10,buy,0.003232994
BSOFT,1/25/2024 9:55,1/25/2024 15:10,buy,-0.002302769
DALBHARAT,1/25/2024 9:30,1/25/2024 15:10,buy,-0.000329512
DLF,1/25/2024 10:45,1/25/2024 15:10,sell,-0.000796178
EICHERMOT,1/25/2024 9:35,1/25/2024 15:10,sell,-7.34E-05
IOC,1/25/2024 13:30,1/25/2024 15:10,sell,-0.000553097
RECLTD,1/25/2024 10:20,1/25/2024 15:10,sell,-0.000901384
TECHM,1/25/2024 11:15,1/25/2024 15:10,sell,-0.000123839
TVSMOTOR,1/25/2024 14:10,1/25/2024 15:10,sell,-0.000465742
ACC,1/29/2024 10:20,1/29/2024 15:10,buy,-0.001416374
AUBANK,1/29/2024 9:30,1/29/2024 15:10,sell,0.002267768
JKCEMENT,1/29/2024 11:45,1/29/2024 15:10,buy,6.87E-05
NATIONALUM,1/29/2024 11:00,1/29/2024 15:10,buy,-1.96E-17
ONGC,1/29/2024 9:30,1/29/2024 15:10,buy,0.003237705
PEL,1/29/2024 9:30,1/29/2024 15:10,sell,-0.000317478
PNB,1/29/2024 10:20,1/29/2024 15:10,buy,4.65E-05
SBICARD,1/29/2024 9:40,1/29/2024 15:10,sell,-0.000104902
SYNGENE,1/29/2024 12:50,1/29/2024 15:10,buy,0.000190672
EXIDEIND,1/30/2024 9:30,1/30/2024 12:55,sell,-0.001011858
ONGC,1/30/2024 9:30,1/30/2024 14:20,buy,-0.001325278
GAIL,1/30/2024 10:30,1/30/2024 14:40,buy,-0.001975818
ASTRAL,1/30/2024 9:30,1/30/2024 15:10,sell,-0.000578375
BAJFINANCE,1/30/2024 11:55,1/30/2024 15:10,sell,0.000263141
EXIDEIND,1/30/2024 12:55,1/30/2024 15:10,buy,-0.000532165
IGL,1/30/2024 9:30,1/30/2024 15:10,sell,-0.001551128
INDIAMART,1/30/2024 9:30,1/30/2024 15:10,sell,0.000805137
IOC,1/30/2024 9:35,1/30/2024 15:10,buy,-0.000635593
PEL,1/30/2024 9:35,1/30/2024 15:10,buy,-0.001195021
PETRONET,1/30/2024 10:10,1/30/2024 15:10,buy,-0.001673717
ASTRAL,1/31/2024 10:40,1/31/2024 15:10,sell,0.000335113
LT,1/31/2024 9:45,1/31/2024 15:10,sell,-0.001509957
LUPIN,1/31/2024 10:00,1/31/2024 15:10,buy,0.001988887
M&MFIN,1/31/2024 10:45,1/31/2024 15:10,buy,-0.001751951
VOLTAS,1/31/2024 10:00,1/31/2024 15:10,buy,0.004859017
INDUSTOWER,2/1/2024 9:50,2/1/2024 10:05,buy,-0.00322872
DEEPAKNTR,2/1/2024 9:45,2/1/2024 10:20,buy,-0.002171836
INDUSTOWER,2/1/2024 10:05,2/1/2024 10:50,sell,-0.003686421
DIXON,2/1/2024 9:30,2/1/2024 15:10,sell,-0.000246521
GMRINFRA,2/1/2024 9:30,2/1/2024 15:10,buy,0.000318066
GODREJCP,2/1/2024 9:35,2/1/2024 15:10,buy,-0.002100857
NAUKRI,2/1/2024 9:35,2/1/2024 15:10,sell,0.000806673
SHREECEM,2/1/2024 9:35,2/1/2024 15:10,buy,-0.002552809
SHRIRAMFIN,2/1/2024 10:15,2/1/2024 15:10,sell,-0.000127391
ZEEL,2/1/2024 9:40,2/1/2024 15:10,sell,0.001614298
ZEEL,2/2/2024 9:30,2/2/2024 13:30,buy,-0.002152365
ABBOTINDIA,2/2/2024 9:30,2/2/2024 15:10,buy,0.001935955
BATAINDIA,2/2/2024 9:30,2/2/2024 15:10,buy,-0.000367685
BPCL,2/2/2024 9:35,2/2/2024 15:10,buy,0.006607319
CANFINHOME,2/2/2024 9:30,2/2/2024 15:10,buy,0.002478215
CONCOR,2/2/2024 11:40,2/2/2024 15:10,sell,0.000211623
HINDPETRO,2/2/2024 9:35,2/2/2024 15:10,buy,0.002374185
INDHOTEL,2/2/2024 10:25,2/2/2024 15:10,sell,0.000813977
NMDC,2/2/2024 9:30,2/2/2024 15:10,buy,0.002025373
PNB,2/2/2024 9:30,2/2/2024 15:10,buy,0.002871206
TRENT,2/5/2024 9:30,2/5/2024 10:45,buy,-0.00104585
ZEEL,2/5/2024 9:35,2/5/2024 13:25,sell,-0.001820768
INDIGO,2/5/2024 10:25,2/5/2024 15:10,sell,0.001119955
IOC,2/5/2024 9:30,2/5/2024 15:10,buy,0.002104942
SAIL,2/5/2024 9:40,2/5/2024 15:10,buy,0.002442691
SBILIFE,2/5/2024 10:15,2/5/2024 15:10,sell,0.000966504
SHREECEM,2/5/2024 9:40,2/5/2024 15:10,sell,0.00429428
TATAMOTORS,2/5/2024 9:35,2/5/2024 15:10,buy,-0.001922771
TORNTPHARM,2/5/2024 9:30,2/5/2024 15:10,buy,0.001523184
UPL,2/5/2024 9:40,2/5/2024 15:10,sell,0.004957521
ZEEL,2/5/2024 13:25,2/5/2024 15:10,buy,2.79E-05
HINDPETRO,2/6/2024 9:30,2/6/2024 10:10,sell,-0.002121932
ASHOKLEY,2/6/2024 9:30,2/6/2024 15:10,sell,0.001073143
GAIL,2/6/2024 9:45,2/6/2024 15:10,buy,0.001708205
HINDPETRO,2/6/2024 10:10,2/6/2024 15:10,buy,0.004093658
IEX,2/6/2024 9:45,2/6/2024 15:10,buy,0.000163827
IOC,2/6/2024 9:55,2/6/2024 15:10,buy,0.004558824
OFSS,2/6/2024 9:35,2/6/2024 15:10,buy,0.004198004
PETRONET,2/6/2024 9:40,2/6/2024 15:10,buy,0.003614889
SAIL,2/6/2024 14:00,2/6/2024 15:10,buy,0.004694836
TATACHEM,2/6/2024 9:45,2/6/2024 15:10,buy,0.001462093
IOC,2/7/2024 9:40,2/7/2024 9:55,sell,-0.002239015
MFSL,2/7/2024 9:40,2/7/2024 10:05,sell,-0.00379562
IOC,2/7/2024 9:55,2/7/2024 11:05,buy,-0.002272105
SAIL,2/7/2024 9:30,2/7/2024 11:05,buy,-0.002437396
IDEA,2/7/2024 9:55,2/7/2024 11:30,buy,-0.002730375
ASHOKLEY,2/7/2024 9:45,2/7/2024 15:10,sell,0.000517241
BERGEPAINT,2/7/2024 9:30,2/7/2024 15:10,sell,0.000785644
BIOCON,2/7/2024 9:30,2/7/2024 15:10,sell,0.000986059
BRITANNIA,2/7/2024 9:30,2/7/2024 15:10,sell,-0.001094632
CANBK,2/7/2024 9:45,2/7/2024 15:10,buy,0.000234896
GODREJPROP,2/7/2024 9:30,2/7/2024 15:10,sell,0.001559077
MFSL,2/7/2024 10:05,2/7/2024 15:10,buy,0.000208366
PNB,2/8/2024 9:50,2/8/2024 11:00,buy,-0.001471758
ESCORTS,2/8/2024 10:10,2/8/2024 15:05,sell,-0.001782188
BANKBARODA,2/8/2024 9:30,2/8/2024 15:10,buy,0.001216746
CANBK,2/8/2024 10:10,2/8/2024 15:10,buy,0.000363537
CUMMINSIND,2/8/2024 10:20,2/8/2024 15:10,buy,-0.00206664
ESCORTS,2/8/2024 15:05,2/8/2024 15:10,buy,-0.001302272
GNFC,2/8/2024 9:30,2/8/2024 15:10,buy,0.000826322
LUPIN,2/8/2024 9:30,2/8/2024 15:10,sell,0.001618093
TRENT,2/8/2024 9:30,2/8/2024 15:10,buy,0.001870296
ZEEL,2/8/2024 9:45,2/8/2024 15:10,buy,0.002342294
APOLLOTYRE,2/9/2024 10:40,2/9/2024 15:10,sell,0.00040043
BHEL,2/9/2024 9:30,2/9/2024 15:10,sell,0.002193548
BIOCON,2/9/2024 10:00,2/9/2024 15:10,sell,0.000852685
CUB,2/9/2024 9:35,2/9/2024 15:10,sell,-3.77E-05
ITC,2/9/2024 9:40,2/9/2024 15:10,buy,0.000229054
PFC,2/9/2024 9:35,2/9/2024 15:10,sell,0.001770318
RECLTD,2/9/2024 9:35,2/9/2024 15:10,sell,0.001624604
TATAPOWER,2/9/2024 9:30,2/9/2024 15:10,sell,0.0021712
TRENT,2/9/2024 9:45,2/9/2024 15:10,sell,0.00035056
APOLLOTYRE,2/12/2024 9:35,2/12/2024 10:25,buy,-0.001913646
LUPIN,2/12/2024 9:30,2/12/2024 10:45,buy,-0.00144361
AUROPHARMA,2/12/2024 9:35,2/12/2024 15:10,sell,-0.000191778
BANDHANBNK,2/12/2024 9:30,2/12/2024 15:10,sell,0.004255825
DRREDDY,2/12/2024 13:30,2/12/2024 15:10,buy,-1.58E-06
LUPIN,2/12/2024 10:45,2/12/2024 15:10,sell,0.000290453
MOTHERSON,2/12/2024 9:45,2/12/2024 15:10,sell,0.004613466
ONGC,2/12/2024 9:45,2/12/2024 15:10,sell,0.001358852
TATAPOWER,2/12/2024 9:55,2/12/2024 15:10,sell,0.003527525
ZEEL,2/12/2024 9:35,2/12/2024 15:10,sell,0.008278708
AUROPHARMA,2/13/2024 9:30,2/13/2024 15:10,sell,-0.000878484
BHARATFORG,2/13/2024 9:30,2/13/2024 15:10,sell,-0.001667676
COALINDIA,2/13/2024 10:25,2/13/2024 15:10,buy,0.001573918
DALBHARAT,2/13/2024 9:30,2/13/2024 15:10,sell,-0.002269746
GMRINFRA,2/13/2024 10:10,2/13/2024 15:10,buy,0.000167317
GRASIM,2/13/2024 9:30,2/13/2024 15:10,sell,0.002536249
MOTHERSON,2/13/2024 9:30,2/13/2024 15:10,sell,-0.003221477
NMDC,2/13/2024 9:30,2/13/2024 15:10,sell,-0.000591312
SAIL,2/13/2024 10:05,2/13/2024 15:10,buy,-0.002277433
BHEL,2/14/2024 9:35,2/14/2024 15:10,buy,0.005411765
CANFINHOME,2/14/2024 9:35,2/14/2024 15:10,buy,0.001968479
DEEPAKNTR,2/14/2024 9:45,2/14/2024 15:10,buy,0.000289082
GUJGASLTD,2/14/2024 9:30,2/14/2024 15:10,buy,0.004608639
HINDCOPPER,2/14/2024 9:45,2/14/2024 15:10,buy,0.004867703
JINDALSTEL,2/14/2024 9:45,2/14/2024 15:10,buy,0.003273992
NATIONALUM,2/14/2024 9:35,2/14/2024 15:10,buy,0.005816706
RBLBANK,2/14/2024 9:50,2/14/2024 15:10,buy,0.001991952
SHRIRAMFIN,2/14/2024 9:35,2/14/2024 15:10,buy,0.003038389
ZEEL,2/14/2024 9:30,2/14/2024 15:10,buy,0.006880857
SHRIRAMFIN,2/15/2024 9:30,2/15/2024 9:40,buy,-0.001496695
CANFINHOME,2/15/2024 9:55,2/15/2024 12:00,sell,-0.001270136
CANFINHOME,2/15/2024 12:00,2/15/2024 15:10,buy,-0.000152952
COFORGE,2/15/2024 13:15,2/15/2024 15:10,buy,0.000225659
HINDCOPPER,2/15/2024 9:35,2/15/2024 15:10,sell,0.001860733
LTTS,2/15/2024 9:40,2/15/2024 15:10,sell,0.000247961
MUTHOOTFIN,2/15/2024 9:30,2/15/2024 15:10,sell,0.003839817
NATIONALUM,2/15/2024 9:35,2/15/2024 15:10,sell,-0.000318979
NMDC,2/15/2024 12:30,2/15/2024 15:10,sell,-0.001194468
ZEEL,2/15/2024 9:40,2/15/2024 15:10,sell,0.004408411
BEL,2/16/2024 9:45,2/16/2024 13:05,sell,-0.001042223
POLYCAB,2/16/2024 10:15,2/16/2024 14:10,sell,-0.002431631
BANDHANBNK,2/16/2024 9:30,2/16/2024 15:10,buy,-0.000618965
BEL,2/16/2024 13:05,2/16/2024 15:10,buy,-0.000449617
BPCL,2/16/2024 12:15,2/16/2024 15:10,sell,0.000905825
GLENMARK,2/16/2024 9:30,2/16/2024 15:10,buy,-0.000189079
GUJGASLTD,2/16/2024 10:25,2/16/2024 15:10,sell,-9.16E-05
HINDALCO,2/16/2024 9:45,2/16/2024 15:10,sell,-0.000447907
M&M,2/16/2024 11:10,2/16/2024 15:10,buy,0.000978851
POLYCAB,2/16/2024 14:10,2/16/2024 15:10,buy,-0.00034615
SAIL,2/16/2024 9:50,2/16/2024 15:10,buy,-0.001276102
TATAPOWER,2/19/2024 10:20,2/19/2024 15:05,buy,-0.000963793
BALRAMCHIN,2/19/2024 9:35,2/19/2024 15:10,buy,-0.001350309
BANDHANBNK,2/19/2024 9:50,2/19/2024 15:10,sell,-0.000221293
BHARATFORG,2/19/2024 9:30,2/19/2024 15:10,sell,-0.000106709
EXIDEIND,2/19/2024 11:25,2/19/2024 15:10,sell,0.000635343
METROPOLIS,2/19/2024 9:30,2/19/2024 15:10,sell,0.000398962
MOTHERSON,2/19/2024 9:30,2/19/2024 15:10,sell,0.000920649
MFSL,2/20/2024 9:30,2/20/2024 12:20,buy,-0.001636086
ZEEL,2/20/2024 10:10,2/20/2024 13:35,sell,-0.00392316
ATUL,2/20/2024 9:55,2/20/2024 15:10,sell,-0.000158229
BIOCON,2/20/2024 10:05,2/20/2024 15:10,buy,-0.001882845
DELTACORP,2/20/2024 10:25,2/20/2024 15:10,sell,0.002109561
IPCALAB,2/20/2024 9:40,2/20/2024 15:10,sell,-0.000533518
MFSL,2/20/2024 12:20,2/20/2024 15:10,sell,7.77E-05
PFC,2/20/2024 9:35,2/20/2024 15:10,buy,-0.000339221
ZEEL,2/20/2024 13:35,2/20/2024 15:10,buy,0.000130174
VEDL,2/21/2024 10:00,2/21/2024 13:45,buy,-0.001917976
ABB,2/21/2024 9:30,2/21/2024 15:10,buy,0.003232888
FEDERALBNK,2/21/2024 9:55,2/21/2024 15:10,sell,0.000581583
HINDALCO,2/21/2024 9:35,2/21/2024 15:10,sell,0.001892925
IDEA,2/21/2024 9:30,2/21/2024 15:10,sell,0.00375
JINDALSTEL,2/21/2024 10:45,2/21/2024 15:10,sell,-0.001222222
NMDC,2/21/2024 9:30,2/21/2024 15:10,sell,0.00312766
ZEEL,2/21/2024 9:30,2/21/2024 15:10,buy,-0.006205319
NMDC,2/22/2024 9:30,2/22/2024 9:40,sell,-0.001876794
BALRAMCHIN,2/22/2024 9:30,2/22/2024 10:10,sell,-0.001028312
COALINDIA,2/22/2024 9:30,2/22/2024 11:50,sell,-0.001789241
HINDCOPPER,2/22/2024 9:30,2/22/2024 11:50,sell,-0.002621496
ABB,2/22/2024 9:35,2/22/2024 15:10,buy,0.00309729
AUROPHARMA,2/22/2024 9:30,2/22/2024 15:10,sell,-0.000901683
COALINDIA,2/22/2024 11:50,2/22/2024 15:10,buy,0.001472435
GRASIM,2/22/2024 9:30,2/22/2024 15:10,sell,0.00075132
HDFCBANK,2/22/2024 10:20,2/22/2024 15:10,sell,-0.000162257
HINDCOPPER,2/22/2024 11:50,2/22/2024 15:10,buy,0.002947534
LTIM,2/22/2024 9:35,2/22/2024 15:10,sell,-0.000660429
MARICO,2/22/2024 10:00,2/22/2024 15:10,sell,0.000277778
NMDC,2/22/2024 9:40,2/22/2024 15:10,buy,0.001127005
